before,after
5,5
5,5
5,5
5,5
4,4
4,2
4,4
3,4
4,4
5,5
5,5
4,4
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
3,4
4,4
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
4,4
5,5
5,3
5,5
5,5
5,5
4,4
5,5
5,5
5,5
3,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
4,4
2,2
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
4,4
4,4
4,4
4,4
2,4
4,4
5,5
4,4
5,5
5,5
2,2
5,5
5,5
4,4
5,5
5,5
1,4
4,4
5,5
5,5
4,4
5,5
4,4
5,5
3,4
5,5
5,5
4,4
5,5
5,5
5,5
3,4
4,4
4,4
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
4,4
2,4
5,5
4,4
5,5
5,5
4,4
3,4
4,4
5,5
5,5
5,5
2,4
5,5
5,5
3,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
4,4
4,4
3,4
4,4
5,5
5,5
4,4
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
3,4
5,5
5,5
4,4
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
4,4
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
4,4
5,5
2,2
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
4,4
4,4
5,5
4,4
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
1,1
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
4,4
4,4
4,4
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
5,5
4,4
5,5
5,5
5,5
4,4
4,4
5,5
4,4
5,5
5,5
4,4
4,4
4,4
5,5
5,5
5,5
4,4
5,5
5,5
3,4
5,5
5,5
5,5
5,5
4,4
3,4
4,4
5,5
5,5
5,5
5,5
5,5
